longitude,latitude,region_id,tmp,ndvi,年份,year,month
112.913735,24.823577,177,9.125,0.79819995,200302,2003,2
112.926572,24.823577,178,8.3,0.6832,200302,2003,2
112.939409,24.823577,179,7.8,0.834,200302,2003,2
112.952246,24.823577,180,7.675000000000001,0.72819996,200302,2003,2
112.965083,24.823577,181,8.325,0.76199996,200302,2003,2
112.888061,24.832047,182,10.875,0.77019995,200302,2003,2
112.900898,24.832047,183,9.725,0.6063,200302,2003,2
112.913735,24.832047,184,9.325,0.75659996,200302,2003,2
112.888061,24.840517,185,11.0,0.7734,200302,2003,2
112.888061,24.848987,186,11.0,0.7976,200302,2003,2
112.952246,24.688057,1,11.175,0.78429997,200303,2003,3
112.965083,24.688057,2,11.65,0.773,200303,2003,3
112.97792,24.688057,3,12.125,0.7468,200303,2003,3
112.862387,24.696527,4,12.475,0.69699997,200303,2003,3
112.888061,24.696527,5,9.825,0.8498,200303,2003,3
112.939409,24.696527,6,10.4,0.75689995,200303,2003,3
112.952246,24.696527,7,10.874999999999998,0.7334,200303,2003,3
112.965083,24.696527,8,11.65,0.7503,200303,2003,3
112.97792,24.696527,9,12.125,0.746,200303,2003,3
112.990757,24.696527,10,12.25,0.7596,200303,2003,3
113.003594,24.696527,11,12.250000000000002,0.6972,200303,2003,3
113.016431,24.696527,12,12.275000000000002,0.613,200303,2003,3
112.84955,24.704997,13,12.85,0.7165,200303,2003,3
112.862387,24.704997,14,12.6,0.7165,200303,2003,3
112.875224,24.704997,15,11.225,0.7604,200303,2003,3
112.888061,24.704997,16,10.2,0.81659997,200303,2003,3
112.900898,24.704997,17,8.7,0.8168,200303,2003,3
112.913735,24.704997,18,9.2,0.78819996,200303,2003,3
112.926572,24.704997,19,9.925,0.66999996,200303,2003,3
112.939409,24.704997,20,10.275,0.6446,200303,2003,3
112.952246,24.704997,21,10.85,0.6207,200303,2003,3
112.965083,24.704997,22,11.475,0.78389996,200303,2003,3
112.97792,24.704997,23,11.925,0.7772,200303,2003,3
112.990757,24.704997,24,12.125,0.7744,200303,2003,3
113.003594,24.704997,25,12.249999999999998,0.6684,200303,2003,3
113.016431,24.704997,26,12.275,0.6214,200303,2003,3
112.84955,24.713467,27,12.525,0.6631,200303,2003,3
112.862387,24.713467,28,11.8,0.58349997,200303,2003,3
112.875224,24.713467,29,10.025,0.6137,200303,2003,3
112.888061,24.713467,30,9.375,0.71709996,200303,2003,3
112.900898,24.713467,31,8.725,0.8084,200303,2003,3
112.913735,24.713467,32,9.3,0.79389995,200303,2003,3
112.926572,24.713467,33,9.875,0.6647,200303,2003,3
112.939409,24.713467,34,10.25,0.6483,200303,2003,3
112.952246,24.713467,35,10.775,0.7589,200303,2003,3
112.965083,24.713467,36,11.4,0.7923,200303,2003,3
112.97792,24.713467,37,11.775,0.76519996,200303,2003,3
112.990757,24.713467,38,11.925,0.7301,200303,2003,3
113.003594,24.713467,39,12.075,0.673,200303,2003,3
112.84955,24.721937,40,11.925,0.6283,200303,2003,3
112.862387,24.721937,41,11.2,0.70489997,200303,2003,3
112.875224,24.721937,42,9.65,0.7273,200303,2003,3
112.888061,24.721937,43,8.95,0.8285,200303,2003,3
112.900898,24.721937,44,8.850000000000001,0.7804,200303,2003,3
112.913735,24.721937,45,9.375,0.7906,200303,2003,3
112.926572,24.721937,46,9.65,0.6486,200303,2003,3
112.939409,24.721937,47,9.925,0.6398,200303,2003,3
112.952246,24.721937,48,10.6,0.6082,200303,2003,3
112.965083,24.721937,49,11.125,0.68149996,200303,2003,3
112.97792,24.721937,50,11.675,0.7769,200303,2003,3
112.990757,24.721937,51,11.75,0.7769,200303,2003,3
113.003594,24.721937,52,11.975,0.73899996,200303,2003,3
112.862387,24.730407,53,11.225,0.7118,200303,2003,3
112.875224,24.730407,54,9.875,0.7114,200303,2003,3
112.888061,24.730407,55,9.5,0.8239,200303,2003,3
112.900898,24.730407,56,9.3,0.7917,200303,2003,3
112.913735,24.730407,57,9.8,0.7917,200303,2003,3
112.926572,24.730407,58,9.5,0.7398,200303,2003,3
112.939409,24.730407,59,10.025,0.5162,200303,2003,3
112.952246,24.730407,60,10.55,0.59209996,200303,2003,3
112.965083,24.730407,61,11.2,0.73149997,200303,2003,3
112.97792,24.730407,62,11.55,0.7529,200303,2003,3
112.990757,24.730407,63,11.75,0.7309,200303,2003,3
113.003594,24.730407,64,12.025,0.58739996,200303,2003,3
112.84955,24.738877,65,12.325,0.6439,200303,2003,3
112.862387,24.738877,66,11.6,0.68549997,200303,2003,3
112.875224,24.738877,67,10.65,0.7836,200303,2003,3
112.888061,24.738877,68,10.425,0.7802,200303,2003,3
112.900898,24.738877,69,10.525,0.7987,200303,2003,3
112.913735,24.738877,70,10.3,0.6418,200303,2003,3
112.926572,24.738877,71,9.775,0.6193,200303,2003,3
112.939409,24.738877,72,9.85,0.5557,200303,2003,3
112.952246,24.738877,73,10.5,0.5706,200303,2003,3
112.965083,24.738877,74,11.15,0.8107,200303,2003,3
112.97792,24.738877,75,11.65,0.73249996,200303,2003,3
112.990757,24.738877,76,11.9,0.7517,200303,2003,3
113.003594,24.738877,77,12.025,0.5765,200303,2003,3
112.84955,24.747347,78,12.8,0.6688,200303,2003,3
112.862387,24.747347,79,12.2,0.7033,200303,2003,3
112.875224,24.747347,80,11.75,0.7637,200303,2003,3
112.888061,24.747347,81,11.275000000000002,0.7513,200303,2003,3
112.900898,24.747347,82,10.95,0.7517,200303,2003,3
112.913735,24.747347,83,10.35,0.74579996,200303,2003,3
112.926572,24.747347,84,9.95,0.5704,200303,2003,3
112.939409,24.747347,85,9.775,0.5427,200303,2003,3
112.952246,24.747347,86,10.375,0.8315,200303,2003,3
112.965083,24.747347,87,11.075,0.8232,200303,2003,3
112.97792,24.747347,88,11.675,0.7216,200303,2003,3
112.84955,24.755817,89,13.45,0.6831,200303,2003,3
112.862387,24.755817,90,13.0,0.7409,200303,2003,3
112.875224,24.755817,91,12.475,0.76309997,200303,2003,3
112.888061,24.755817,92,11.7,0.76089996,200303,2003,3
