-999.00,-999.00,-999.00,311.00,301.00,301.00,301.00,301.00,273.00,261.00,261.00,261.00,259.00,259.00,263.00,276.00,290.00,307.00,321.00,338.00,350.00,364.00,380.00,378.00,369.00,353.00
-999.00,-999.00,-999.00,311.00,301.00,301.00,301.00,301.00,261.00,261.00,261.00,261.00,259.00,258.00,258.00,270.00,284.00,307.00,322.00,333.00,355.00,357.00,380.00,378.00,369.00,369.00
-999.00,-999.00,-999.00,301.00,301.00,301.00,301.00,261.00,261.00,261.00,261.00,259.00,258.00,258.00,258.00,293.00,293.00,316.00,335.00,351.00,355.00,357.00,357.00,378.00,369.00,369.00
-999.00,-999.00,-999.00,301.00,301.00,301.00,261.00,261.00,261.00,261.00,261.00,258.00,258.00,258.00,258.00,293.00,293.00,316.00,335.00,351.00,351.00,357.00,357.00,357.00,369.00,369.00
-999.00,-999.00,301.00,301.00,301.00,301.00,261.00,261.00,261.00,261.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,357.00,357.00,369.00,369.00
-999.00,-999.00,301.00,301.00,301.00,261.00,261.00,261.00,261.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,357.00,357.00,369.00,369.00
-999.00,-999.00,301.00,301.00,261.00,261.00,261.00,261.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,357.00,357.00,369.00
-999.00,-999.00,301.00,261.00,261.00,261.00,261.00,261.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,357.00,357.00,369.00
-999.00,-999.00,301.00,261.00,261.00,261.00,261.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,357.00,369.00
-999.00,-999.00,261.00,261.00,261.00,261.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,357.00,357.00
-999.00,-999.00,261.00,261.00,261.00,258.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,357.00
-999.00,261.00,261.00,261.00,261.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,357.00
-999.00,261.00,261.00,261.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,261.00,261.00,258.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,261.00,258.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,261.00,258.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
-999.00,258.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
258.00,258.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
258.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
258.00,258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
258.00,258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
258.00,258.00,258.00,258.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,293.00,316.00,335.00,351.00,351.00,351.00,351.00,351.00,351.00,351.00
