region_id,longitude,latitude,boundary
96,112.952246,24.755817,"[(112.90731650000001, 24.768522), (112.9201535, 24.768522), (112.9201535, 24.760052), (112.90731650000001, 24.760051999999998), (112.90731650000001, 24.768522)]"
85,112.952246,24.747347,"[(112.93299049999999, 24.760052), (112.9201535, 24.760052), (112.9201535, 24.768522), (112.93299049999999, 24.768521999999997), (112.93299049999999, 24.760052)]"
84,112.939409,24.747347,"[(112.93299049999999, 24.760052), (112.93299049999999, 24.768521999999997), (112.94582750000001, 24.768522), (112.94582750000001, 24.760051999999998), (112.93299049999999, 24.760052)]"
172,112.965083,24.815107,"[(112.9586645, 24.760052), (112.94582750000001, 24.760051999999998), (112.94582750000001, 24.768522), (112.9586645, 24.768521999999997), (112.9586645, 24.760052)]"
167,112.900898,24.815107,"[(112.9715015, 24.760052), (112.9586645, 24.760052), (112.9586645, 24.768521999999997), (112.9715015, 24.768521999999997), (112.9715015, 24.760052)]"
170,112.939409,24.815107,"[(112.98625246101102, 24.76290942348022), (112.98642347026858, 24.760052), (112.9715015, 24.760052), (112.9715015, 24.768521999999997), (112.98596088656856, 24.768521999999997), (112.98625246101102, 24.76290942348022)]"
8,112.97792,24.696527,"[(112.8431315, 24.776992), (112.85596849999999, 24.776992), (112.85596849999999, 24.768522), (112.8431315, 24.768521999999997), (112.8431315, 24.776992)]"
31,112.913735,24.713467,"[(112.86880550000001, 24.776992), (112.86880550000001, 24.768521999999997), (112.85596849999999, 24.768522), (112.85596849999999, 24.776992), (112.86880550000001, 24.776992)]"
61,112.97792,24.730407,"[(112.86880550000001, 24.768521999999997), (112.86880550000001, 24.776992), (112.8816425, 24.776992), (112.8816425, 24.768521999999997), (112.86880550000001, 24.768521999999997)]"
92,112.900898,24.755817,"[(112.89447949999999, 24.776992), (112.89447949999999, 24.768521999999997), (112.8816425, 24.768521999999997), (112.8816425, 24.776992), (112.89447949999999, 24.776992)]"
91,112.888061,24.755817,"[(112.90731650000001, 24.768522), (112.89447949999999, 24.768521999999997), (112.89447949999999, 24.776992), (112.90731650000001, 24.776992), (112.90731650000001, 24.768522)]"
94,112.926572,24.755817,"[(112.9201535, 24.776992), (112.9201535, 24.768522), (112.90731650000001, 24.768522), (112.90731650000001, 24.776992), (112.9201535, 24.776992)]"
51,113.003594,24.721937,"[(112.9201535, 24.776992), (112.93299049999999, 24.776992), (112.93299049999999, 24.768521999999997), (112.9201535, 24.768522), (112.9201535, 24.776992)]"
78,112.862387,24.747347,"[(112.93299049999999, 24.776992), (112.94582750000001, 24.776992), (112.94582750000001, 24.768522), (112.93299049999999, 24.768521999999997), (112.93299049999999, 24.776992)]"
168,112.913735,24.815107,"[(112.94582750000001, 24.768522), (112.94582750000001, 24.776992), (112.9586645, 24.776992), (112.9586645, 24.768521999999997), (112.94582750000001, 24.768522)]"
164,112.97792,24.806637,"[(112.9586645, 24.776992), (112.9715015, 24.776992), (112.9715015, 24.768521999999997), (112.9586645, 24.768521999999997), (112.9586645, 24.776992)]"
166,112.888061,24.815107,"[(112.98596088656856, 24.768521999999997), (112.9715015, 24.768521999999997), (112.9715015, 24.776992), (112.98552086842022, 24.776992), (112.98596088656856, 24.768521999999997)]"
29,112.888061,24.713467,"[(112.8431315, 24.776992), (112.8431315, 24.785462000000003), (112.85596849999999, 24.785462000000003), (112.85596849999999, 24.776992), (112.8431315, 24.776992)]"
64,112.84955,24.738877,"[(112.86880550000001, 24.776992), (112.85596849999999, 24.776992), (112.85596849999999, 24.785462000000003), (112.86880550000001, 24.785462000000003), (112.86880550000001, 24.776992)]"
99,112.84955,24.764287,"[(112.8816425, 24.776992), (112.86880550000001, 24.776992), (112.86880550000001, 24.785462000000003), (112.8816425, 24.785462000000003), (112.8816425, 24.776992)]"
97,112.965083,24.755817,"[(112.89447949999999, 24.785462000000003), (112.89447949999999, 24.776992), (112.8816425, 24.776992), (112.8816425, 24.785462000000003), (112.89447949999999, 24.785462000000003)]"
102,112.888061,24.764287,"[(112.90731650000001, 24.785462000000003), (112.90731650000001, 24.776992), (112.89447949999999, 24.776992), (112.89447949999999, 24.785462000000003), (112.90731650000001, 24.785462000000003)]"
